Transaction,Item
1,apple
1,coffee
1,eggs
1,yogurt
1,juice
2,butter
2,apple
2,milk
3,chocolate
3,apple
4,cheese
4,eggs
4,apple
5,milk
5,cheese
5,juice
6,coffee
6,apple
7,coffee
7,apple
7,milk
8,milk
8,eggs
8,juice
9,cheese
9,bread
9,milk
9,yogurt
9,chocolate
10,juice
10,eggs
10,chocolate
10,bread
11,apple
11,juice
12,juice
12,chocolate
13,apple
14,juice
14,bread
14,butter
15,apple
16,coffee
17,juice
17,coffee
17,yogurt
18,apple
19,eggs
19,milk
19,bread
19,banana
20,banana
21,chocolate
21,eggs
21,yogurt
21,coffee
21,apple
22,banana
22,chocolate
22,apple
22,bread
23,juice
23,yogurt
24,apple
24,bread
24,juice
24,coffee
24,chocolate
25,bread
25,eggs
25,coffee
25,butter
25,juice
26,apple
26,milk
26,butter
26,coffee
26,cheese
27,yogurt
27,milk
27,cheese
27,bread
28,butter
28,juice
28,chocolate
28,eggs
28,coffee
29,bread
29,apple
30,eggs
30,juice
30,butter
30,bread
31,eggs
31,chocolate
31,bread
32,chocolate
32,yogurt
32,coffee
32,banana
32,juice
33,banana
33,eggs
33,milk
34,cheese
34,milk
34,banana
34,yogurt
34,butter
35,apple
36,milk
36,eggs
36,cheese
36,juice
37,eggs
38,apple
38,cheese
38,chocolate
38,yogurt
38,eggs
39,coffee
39,chocolate
39,milk
39,cheese
39,banana
40,apple
40,eggs
40,banana
40,juice
41,cheese
41,coffee
41,butter
41,chocolate
42,bread
42,milk
42,yogurt
42,eggs
43,bread
43,milk
43,coffee
43,yogurt
44,coffee
44,cheese
44,yogurt
44,banana
44,milk
45,chocolate
45,butter
45,apple
45,cheese
45,yogurt
46,apple
47,milk
47,coffee
47,cheese
47,apple
48,yogurt
48,eggs
48,coffee
48,cheese
49,chocolate
49,juice
50,banana
51,yogurt
51,butter
52,juice
52,bread
52,cheese
52,yogurt
52,coffee
53,apple
54,apple
54,cheese
54,coffee
55,banana
55,milk
55,bread
55,chocolate
56,cheese
57,banana
57,juice
57,butter
58,bread
59,juice
59,eggs
60,milk
61,yogurt
61,coffee
61,apple
62,milk
62,bread
62,eggs
62,butter
62,cheese
63,milk
63,banana
64,apple
64,milk
65,coffee
65,milk
65,juice
66,bread
66,cheese
66,butter
67,bread
68,cheese
68,milk
68,juice
69,chocolate
69,milk
70,juice
70,milk
71,coffee
71,chocolate
71,bread
71,banana
72,cheese
72,milk
73,apple
74,eggs
75,yogurt
75,chocolate
76,chocolate
76,milk
76,apple
76,bread
76,banana
77,banana
77,apple
77,bread
78,banana
78,coffee
78,milk
79,chocolate
79,cheese
80,chocolate
80,bread
81,banana
81,apple
81,milk
81,chocolate
82,milk
82,banana
83,cheese
83,apple
84,eggs
84,bread
84,juice
84,cheese
84,banana
85,bread
86,juice
86,coffee
86,chocolate
87,butter
87,bread
87,apple
87,juice
88,milk
88,cheese
88,butter
88,chocolate
89,cheese
89,banana
89,butter
89,milk
89,bread
90,juice
90,apple
90,yogurt
90,milk
90,butter
91,eggs
92,juice
92,cheese
92,bread
92,chocolate
92,butter
93,butter
93,eggs
93,bread
93,apple
94,butter
94,cheese
94,apple
94,eggs
94,coffee
95,butter
96,bread
96,banana
96,yogurt
96,coffee
96,eggs
97,coffee
98,yogurt
98,juice
98,chocolate
98,apple
99,milk
99,cheese
100,butter
100,milk
100,eggs
